en,ja
I love playing football.,サッカーをするのが大好きです。
Do you like basketball?,バスケットボールは好きですか？
She runs every morning.,彼女は毎朝走ります。
He scored a goal!,彼はゴールを決めました！
Let's play tennis together.,一緒にテニスをしましょう。
The match starts at 7 p.m.,試合は午後7時に始まります。
Our team won the game.,私たちのチームは試合に勝ちました。
We lost by one point.,私たちは1点差で負けました。
The referee blew the whistle.,審判がホイッスルを吹きました。
He is a professional athlete.,彼はプロのアスリートです。
She trains every day.,彼女は毎日トレーニングしています。
The fans cheered loudly.,ファンは大声で応援しました。
The stadium was full.,スタジアムは満員でした。
I like watching baseball.,野球を見るのが好きです。
They played very well.,彼らはとても上手にプレーしました。
The goalkeeper made a save.,ゴールキーパーがセーブしました。
He kicked the ball.,彼はボールを蹴りました。
Pass me the ball!,ボールをパスして！
That was a great shot!,すばらしいシュートでした！
We practiced for three hours.,私たちは3時間練習しました。
I joined the local football club.,地元のサッカークラブに入りました。
She is good at swimming.,彼女は水泳が得意です。
I watch the Olympics every year.,毎年オリンピックを見ます。
He runs faster than me.,彼は私より速く走ります。
The coach gave us advice.,コーチがアドバイスをくれました。
Don’t give up!,あきらめないで！
The score is tied.,スコアは同点です。
The team celebrated their victory.,チームは勝利を祝いました。
I need new running shoes.,新しいランニングシューズが必要です。
He hurt his leg during the game.,彼は試合中に足をけがしました。
We need to warm up.,ウォームアップしなければなりません。
They are playing volleyball.,彼らはバレーボールをしています。
I prefer individual sports.,個人競技の方が好きです。
The weather was perfect for soccer.,サッカーには最高の天気でした。
He broke the world record.,彼は世界記録を破りました。
She plays for the national team.,彼女は代表チームでプレーしています。
I scored twice today.,今日は2点取りました。
They’re training hard for the tournament.,彼らは大会に向けて一生懸命練習しています。
Let's watch the game together.,一緒に試合を見ましょう。
The match was very exciting.,試合はとてもエキサイティングでした。
I enjoy watching sumo.,相撲を見るのが好きです。
He caught the ball perfectly.,彼は完璧にボールをキャッチしました。
The final match is tomorrow.,決勝戦は明日です。
We cheered for our team.,私たちは自分のチームを応援しました。
He missed the penalty.,彼はペナルティを外しました。
That was a fair play.,それはフェアプレーでした。
She is a fast runner.,彼女は足が速いです。
I like to swim in the morning.,朝に泳ぐのが好きです。
He loves playing baseball.,彼は野球をするのが大好きです。
We are going to the gym.,私たちはジムに行きます。
She won a gold medal.,彼女は金メダルを取りました。
He lost in the semifinals.,彼は準決勝で負けました。
Let's go jogging.,ジョギングに行こう。
We practice on weekends.,私たちは週末に練習します。
He watches every football match.,彼はすべてのサッカーの試合を見ます。
The crowd was huge.,観客はとても多かったです。
She is learning karate.,彼女は空手を習っています。
He plays baseball after school.,彼は放課後に野球をします。
Our team is very strong.,私たちのチームはとても強いです。
We had a friendly match.,私たちは親善試合をしました。
I want to improve my skills.,スキルを向上させたいです。
He trains hard every day.,彼は毎日一生懸命トレーニングしています。
We need more practice.,もっと練習が必要です。
She scored the winning point.,彼女が決勝点を決めました。
The field was muddy.,グラウンドはぬかるんでいました。
He threw the ball.,彼はボールを投げました。
The players shook hands.,選手たちは握手しました。
I’m tired after the game.,試合の後で疲れました。
We won by two goals.,私たちは2点差で勝ちました。
The opponent was very strong.,相手はとても強かったです。
He is a famous basketball player.,彼は有名なバスケットボール選手です。
The match was postponed.,試合は延期されました。
I love table tennis.,卓球が大好きです。
She hit the ball hard.,彼女は強くボールを打ちました。
Our team needs a new coach.,私たちのチームには新しいコーチが必要です。
The referee made a mistake.,審判がミスをしました。
They won the championship.,彼らは優勝しました。
He plays tennis every weekend.,彼は毎週末テニスをします。
The score was close.,スコアは接戦でした。
She practices gymnastics.,彼女は体操の練習をしています。
The season is almost over.,シーズンはもうすぐ終わります。
We will have a match next week.,来週試合があります。
He loves watching sports.,彼はスポーツ観戦が大好きです。
The game went into overtime.,試合は延長戦になりました。
Our captain is very kind.,私たちのキャプテンはとても優しいです。
I was nervous before the match.,試合の前は緊張しました。
She is our best player.,彼女は私たちの最高の選手です。
He is injured.,彼はけがをしています。
We lost but played well.,負けたけどよく戦いました。
That was an amazing save!,すばらしいセーブでした！
The competition is tough.,競争が激しいです。
He is practicing his serve.,彼はサーブの練習をしています。
Let's take a break.,休憩しましょう。
The ball went out of bounds.,ボールがラインの外に出ました。
They scored in the last minute.,彼らは最後の1分で得点しました。
He passed the ball to me.,彼は私にボールをパスしました。
She jumped very high.,彼女はとても高くジャンプしました。
We played under the rain.,私たちは雨の中でプレーしました。
He was the man of the match.,彼は試合の最優秀選手でした。
We trained in the morning.,私たちは朝に練習しました。
The fans sang songs.,ファンたちは歌を歌いました。
She loves sports.,彼女はスポーツが大好きです。
He wants to become a coach.,彼はコーチになりたいです。
The ball hit the post.,ボールがポストに当たりました。
Our defense is strong.,私たちの守備は強いです。
He made a great tackle.,彼は素晴らしいタックルをしました。
Let's warm up.,ウォームアップしよう。
We ran five kilometers.,私たちは5キロ走りました。
She plays badminton.,彼女はバドミントンをします。
The match ended in a draw.,試合は引き分けで終わりました。
He was very fast.,彼はとても速かったです。
The team worked together.,チームは協力しました。
I watch sports every weekend.,私は毎週末スポーツを見ます。
She is a swimmer.,彼女は水泳選手です。
The coach is strict.,コーチは厳しいです。
He wants to join the basketball team.,彼はバスケットボールチームに入りたいです。
We will play against them.,私たちは彼らと対戦します。
The match was canceled.,試合は中止されました。
I like outdoor sports.,アウトドアスポーツが好きです。
He trains in the gym.,彼はジムでトレーニングしています。
She finished first.,彼女は1位でゴールしました。
He was disappointed after the loss.,彼は負けてがっかりしました。
We played until sunset.,私たちは日没までプレーしました。
They were very tired.,彼らはとても疲れていました。
The competition starts soon.,大会がもうすぐ始まります。
I want to be stronger.,もっと強くなりたいです。
He hit the target.,彼は的に当てました。
She practices yoga every day.,彼女は毎日ヨガを練習しています。
We joined a marathon.,私たちはマラソンに参加しました。
The result was unexpected.,結果は予想外でした。
He loves surfing.,彼はサーフィンが大好きです。
The wind was strong today.,今日は風が強かったです。
She is stretching now.,彼女は今ストレッチしています。
I watch highlights online.,オンラインでハイライトを見ます。
We played basketball yesterday.,昨日バスケットボールをしました。
He bought a new racket.,彼は新しいラケットを買いました。
The referee stopped the game.,審判が試合を止めました。
The crowd applauded.,観客が拍手しました。
She is learning to skate.,彼女はスケートを習っています。
We are in good shape.,私たちは体調がいいです。
He trains for the competition.,彼は大会のために練習しています。
She swims very fast.,彼女はとても速く泳ぎます。
Our team practiced defense.,私たちのチームは守備を練習しました。
He made a beautiful pass.,彼は美しいパスをしました。
We need to focus.,集中しなければなりません。
The coach changed the strategy.,コーチは戦術を変えました。
We are ready to win.,勝つ準備ができています。
She joined the volleyball club.,彼女はバレーボール部に入りました。
The game was intense.,試合は激しかったです。
He is a talented player.,彼は才能のある選手です。
We celebrated after the victory.,勝利の後でお祝いしました。
The training was hard.,トレーニングはきつかったです。
He runs a sports shop.,彼はスポーツ用品店を経営しています。
The tournament starts next month.,大会は来月始まります。
We finished second.,私たちは2位で終わりました。
She plays golf.,彼女はゴルフをします。
He trains young players.,彼は若い選手を指導しています。
Let's go cycling.,サイクリングに行こう。
I love sports festivals.,体育祭が大好きです。
They won in extra time.,彼らは延長戦で勝ちました。
He jumped over the hurdle.,彼はハードルを飛び越えました。
We ran together this morning.,今朝一緒に走りました。
She cheered for me.,彼女は私を応援してくれました。
The weather was hot.,天気は暑かったです。
We played fairly.,私たちは公正にプレーしました。
He loves team sports.,彼はチームスポーツが大好きです。
She wants to become stronger.,彼女はもっと強くなりたいです。
We enjoyed the game.,私たちは試合を楽しみました。
The match lasted ninety minutes.,試合は90分続きました。
He is practicing basketball now.,彼は今バスケットボールを練習しています。
We lost but learned a lot.,負けたけどたくさん学びました。
She practices every morning.,彼女は毎朝練習しています。
He loves watching football.,彼はサッカーを見るのが大好きです。
Our team spirit is strong.,私たちのチームスピリットは強いです。
The game was broadcast live.,試合は生中継されました。
I like running at night.,夜に走るのが好きです。
She wears a red uniform.,彼女は赤いユニフォームを着ています。
He trained abroad.,彼は海外でトレーニングしました。
We had fun playing together.,一緒にプレーして楽しかったです。
